word,date,word_cnt_page
before,2017-06-21,2
before,2017-07-05,2
before,2017-10-11,1
before,2018-01-31,2
before,2018-02-14,2
before,2018-07-18,1
before,2018-09-26,1
before,2018-10-24,2
before,2018-11-07,1
before,2019-03-27,2
before,2019-05-08,1
before,2019-07-31,1
before,2019-11-06,2
before,2019-11-20,1
before,2019-12-18,1
before,2020-01-02,1
before,2020-06-17,1
before,2020-07-15,1
before,2020-09-09,1
before,2021-01-06,1
before,2021-02-03,1
before,2021-02-17,1
before,2022-04-13,1
before,2022-05-11,1
before,2022-06-22,1
before,2022-07-06,1
afermath,2017-02-01,21
afermath,2017-03-01,17
afermath,2017-03-29,14
afermath,2017-04-24,15
afermath,2017-05-10,34
afermath,2017-06-07,21
afermath,2017-06-21,21
afermath,2017-07-05,27
afermath,2017-07-19,18
afermath,2017-08-02,25
afermath,2017-08-16,15
afermath,2017-08-30,16
afermath,2017-09-13,26
afermath,2017-09-25,21
afermath,2017-10-11,18
afermath,2017-10-23,19
afermath,2017-11-17,18
afermath,2017-11-22,28
afermath,2018-01-03,21
afermath,2018-01-17,30
afermath,2018-01-31,16
afermath,2018-02-14,34
afermath,2018-02-28,36
afermath,2018-03-14,19
afermath,2018-03-28,15
afermath,2018-04-11,30
afermath,2018-04-25,20
afermath,2018-05-09,17
afermath,2018-05-23,28
afermath,2018-06-06,22
afermath,2018-06-20,29
afermath,2018-07-18,16
afermath,2018-09-12,25
afermath,2018-09-26,36
afermath,2018-10-10,23
afermath,2018-10-24,35
afermath,2018-11-07,17
afermath,2018-12-05,20
afermath,2019-01-16,26
afermath,2019-01-30,19
afermath,2019-02-13,16
afermath,2019-02-27,26
afermath,2019-03-13,24
afermath,2019-03-27,26
afermath,2019-04-10,20
afermath,2019-04-24,18
afermath,2019-05-08,14
afermath,2019-05-22,18
afermath,2019-06-05,35
afermath,2019-06-19,14
afermath,2019-07-03,17
afermath,2019-07-17,22
afermath,2019-07-31,18
afermath,2019-08-14,15
afermath,2019-08-28,19
afermath,2019-09-11,20
afermath,2019-09-25,31
afermath,2019-10-09,30
afermath,2019-10-25,20
afermath,2019-11-06,27
afermath,2019-11-20,19
afermath,2019-12-04,21
afermath,2019-12-18,15
afermath,2020-01-02,14
afermath,2020-01-29,27
afermath,2020-02-12,20
afermath,2020-02-26,24
afermath,2020-03-11,23
afermath,2020-03-25,28
afermath,2020-04-08,28
afermath,2020-04-22,14
afermath,2020-05-06,22
afermath,2020-05-20,13
afermath,2020-06-03,16
afermath,2020-06-17,23
afermath,2020-07-01,18
afermath,2020-07-15,18
afermath,2020-07-29,17
afermath,2020-08-12,23
afermath,2020-08-26,14
afermath,2020-09-09,28
afermath,2020-09-23,38
afermath,2020-10-07,26
afermath,2020-10-21,21
afermath,2020-11-04,27
afermath,2020-11-18,21
afermath,2020-12-02,24
afermath,2020-12-16,18
afermath,2021-01-06,25
afermath,2021-02-03,18
afermath,2021-02-17,18
afermath,2021-03-03,27
afermath,2021-04-14,22
afermath,2021-05-12,22
afermath,2021-05-26,21
afermath,2021-06-23,17
afermath,2021-07-07,24
afermath,2021-07-21,23
afermath,2021-08-04,25
afermath,2021-08-18,19
afermath,2021-09-01,28
afermath,2021-09-15,41
afermath,2021-09-21,36
