;Exporter;Importer;Year;Value (1000USD);Weight (1000kg);Export value, where quarantined;Import value, where quarantined;Export weight, where quarantined;Import weight, where quarantined;Embodied CO2 (1000kg);Embodied land (ha);Embodied blue water (m³)
88;Colombia;United States of America;6054;1109215,723;330807,5497;0,0;0,0;0,0;0,0;323906,1767;0,0;0,0
77;Colombia;Japan;2018;199770,58;62535,258;0,0;0,0;0,0;0,0;61770,26;0,0;0,0
74;Colombia;Germany;2018;180666,53;59067,586;0,0;0,0;0,0;0,0;58345,01;0,0;0,0
70;Colombia;Canada;2018;188882,69;58009,105;0,0;0,0;0,0;0,0;57299,48;0,0;0,0
83;Colombia;South Korea;2018;85752,32;26557,957;0,0;0,0;0,0;0,0;26233,072;0,0;0,0
69;Colombia;Belgium;2018;72100,86;21414,418;0,0;0,0;0,0;0,0;21152,455;0,0;0,0
76;Colombia;Italy;2018;59255,133;18290,883;0,0;0,0;0,0;0,0;18067,13;0,0;0,0
84;Colombia;Spain;2018;54307,664;16578,785;0,0;0,0;0,0;0,0;16375,977;0,0;0,0
87;Colombia;United Kingdom;2018;55413,84;15816,439;0,0;0,0;0,0;0,0;15622,957;0,0;0,0
72;Colombia;Finland;2018;46805,906;14701,435;0,0;0,0;0,0;0,0;14521,592;0,0;0,0
86;Colombia;Switzerland;2018;51976,61;13166,458;0,0;0,0;0,0;0,0;13005,393;0,0;0,0
68;Colombia;Australia;2018;37773,11;10184,4;0,0;0,0;0,0;0,0;10059,814;0,0;0,0
80;Colombia;Norway;2018;29144,188;9143,821;0,0;0,0;0,0;0,0;9031,965;0,0;0,0
73;Colombia;France;2018;27464,719;8973,53;0,0;0,0;0,0;0,0;8863,757;0,0;0,0
79;Colombia;Netherlands;2018;22969,898;6570,142;0,0;0,0;0,0;0,0;6489,7695;0,0;0,0
78;Colombia;Malaysia;2018;20366,758;6218,175;0,0;0,0;0,0;0,0;6142,108;0,0;0,0
75;Colombia;Israel;2018;15884,207;5137,262;0,0;0,0;0,0;0,0;5074,418;0,0;0,0
71;Colombia;China;2018;16797,936;5063,1978;0,0;0,0;0,0;0,0;5001,26;0,0;0,0
85;Colombia;Sweden;2018;16003,436;5039,5244;0,0;0,0;0,0;0,0;4977,876;0,0;0,0
82;Colombia;Russia;2018;13836,429;4326,0977;0,0;0,0;0,0;0,0;4273,1763;0,0;0,0
81;Colombia;Romania;2018;6387,025;2015,9314;0,0;0,0;0,0;0,0;1991,2705;0,0;0,0
