;Exporter;Importer;Year;Value (1000USD);Weight (1000kg);Export value, where quarantined;Import value, where quarantined;Export weight, where quarantined;Import weight, where quarantined;Embodied CO2 (1000kg);Embodied land (ha);Embodied blue water (m³)
126;Germany;Poland;4036;296538,66000000003;86867,39;0,0;0,0;0,0;0,0;70443,457;0,0;0,0
125;Germany;Netherlands;6054;273882,466;58981,553;0,0;0,0;0,0;0,0;45287,079;0,0;0,0
135;Germany;United States of America;6054;209320,492;57020,9707;0,0;0,0;0,0;0,0;55202,8474;0,0;0,0
120;Germany;France;6054;280735,684;41994,045;0,0;0,0;0,0;0,0;32232,194;0,0;0,0
130;Germany;Spain;6054;92603,267;31698,9753;0,0;0,0;0,0;0,0;29253,9043;0,0;0,0
118;Germany;Czechia;4036;101206,01500000001;25465,895;0,0;0,0;0,0;0,0;18461,896999999997;0,0;0,0
114;Germany;Austria;4036;146225,591;22336,7245;0,0;0,0;0,0;0,0;13509,9159;0,0;0,0
122;Germany;Italy;6054;58981,070999999996;17905,646999999997;0,0;0,0;0,0;0,0;16281,034;0,0;0,0
115;Germany;Belgium;6054;72405,163;16699,8575;0,0;0,0;0,0;0,0;11832,708999999999;0,0;0,0
129;Germany;Slovakia;2018;71477,82;16153,546;0,0;0,0;0,0;0,0;8884,45;0,0;0,0
134;Germany;United Kingdom;4036;114966,115;14047,581699999999;0,0;0,0;0,0;0,0;8754,818299999999;0,0;0,0
124;Germany;Luxembourg;2018;70205,02;13567,11;0,0;0,0;0,0;0,0;7461,9106;0,0;0,0
132;Germany;Switzerland;4036;47169,630000000005;9737,0694;0,0;0,0;0,0;0,0;8433,9592;0,0;0,0
127;Germany;Romania;2018;54305,938;9434,509;0,0;0,0;0,0;0,0;5188,98;0,0;0,0
128;Germany;Russia;4036;44969,929000000004;8469,4666;0,0;0,0;0,0;0,0;6332,6005000000005;0,0;0,0
119;Germany;Denmark;2018;38089,58;7833,796;0,0;0,0;0,0;0,0;4308,588;0,0;0,0
121;Germany;Hungary;4036;24859,6885;7028,9245;0,0;0,0;0,0;0,0;5386,3239;0,0;0,0
131;Germany;Sweden;4036;27001,184999999998;6265,3518;0,0;0,0;0,0;0,0;5200,2766;0,0;0,0
116;Germany;Bulgaria;2018;8940,822;3868,2373;0,0;0,0;0,0;0,0;3820,917;0,0;0,0
123;Germany;Lithuania;2018;14911,828;2904,0857;0,0;0,0;0,0;0,0;1597,2472;0,0;0,0
113;Germany;Australia;2018;8880,057;2759,814;0,0;0,0;0,0;0,0;2726,0532;0,0;0,0
133;Germany;Ukraine;2018;7021,99;2604,7703;0,0;0,0;0,0;0,0;2572,906;0,0;0,0
117;Germany;Canada;2018;6188,794;1978,721;0,0;0,0;0,0;0,0;1954,5153;0,0;0,0
