;Exporter;Importer;Year;Value (1000USD);Weight (1000kg);Export value, where quarantined;Import value, where quarantined;Export weight, where quarantined;Import weight, where quarantined;Embodied CO2 (1000kg);Embodied land (ha);Embodied blue water (m³)
329;Vietnam;Germany;2018;444166,03;165113,98;0,0;0,0;0,0;0,0;163094,14;0,0;0,0
357;Vietnam;United States of America;4036;345871,504;128984,065;0,0;0,0;0,0;0,0;127406,204;0,0;0,0
335;Vietnam;Italy;2018;245182,23;89609,8;0,0;0,0;0,0;0,0;88513,6;0,0;0,0
350;Vietnam;Spain;4036;232850,138;85811,874;0,0;0,0;0,0;0,0;84762,1316;0,0;0,0
336;Vietnam;Japan;2018;178920,77;65781,99;0,0;0,0;0,0;0,0;64977,28;0,0;0,0
345;Vietnam;Russia;2018;155175,2;58238,742;0,0;0,0;0,0;0,0;57526,305;0,0;0,0
320;Vietnam;Belgium;2018;129369,41;46738,195;0,0;0,0;0,0;0,0;46166,445;0,0;0,0
316;Vietnam;Algeria;2018;132396,28;40342,66;0,0;0,0;0,0;0,0;39849,15;0,0;0,0
332;Vietnam;Indonesia;2018;107348,12;40142,64;0,0;0,0;0,0;0,0;39651,574;0,0;0,0
353;Vietnam;Thailand;2018;100283,25;37409,16;0,0;0,0;0,0;0,0;36951,53;0,0;0,0
356;Vietnam;United Kingdom;2018;96490,31;35558,043;0,0;0,0;0,0;0,0;35123,062;0,0;0,0
331;Vietnam;India;2018;89226,56;34072,664;0,0;0,0;0,0;0,0;33655,85;0,0;0,0
328;Vietnam;France;2018;79377,83;25742,395;0,0;0,0;0,0;0,0;25427,488;0,0;0,0
341;Vietnam;Philippines;2018;69607,01;25676,094;0,0;0,0;0,0;0,0;25361,998;0,0;0,0
337;Vietnam;Malaysia;2018;62788,49;24183,086;0,0;0,0;0,0;0,0;23887,254;0,0;0,0
349;Vietnam;South Korea;2018;53572,71;19735,191;0,0;0,0;0,0;0,0;19493,77;0,0;0,0
324;Vietnam;China;4036;71318,842;18458,9778;0,0;0,0;0,0;0,0;17255,9181;0,0;0,0
342;Vietnam;Poland;2018;39089,74;17412,1;0,0;0,0;0,0;0,0;17199,098;0,0;0,0
338;Vietnam;Mexico;2018;46768,09;15688,91;0,0;0,0;0,0;0,0;15496,987;0,0;0,0
318;Vietnam;Australia;2018;33531,074;12326,987;0,0;0,0;0,0;0,0;12176,191;0,0;0,0
343;Vietnam;Portugal;2018;31900,215;11736,613;0,0;0,0;0,0;0,0;11593,039;0,0;0,0
354;Vietnam;Tunisia;2018;26891,031;10241,348;0,0;0,0;0,0;0,0;10116,065;0,0;0,0
327;Vietnam;Egypt;2018;23581,799;8954,069;0,0;0,0;0,0;0,0;8844,534;0,0;0,0
348;Vietnam;South Africa;2018;17559,215;6618,77;0,0;0,0;0,0;0,0;6537,8022;0,0;0,0
352;Vietnam;Switzerland;2018;14799,975;6423,417;0,0;0,0;0,0;0,0;6344,8394;0,0;0,0
339;Vietnam;Morocco;2018;16907,613;6358,7095;0,0;0,0;0,0;0,0;6280,9233;0,0;0,0
340;Vietnam;Netherlands;2018;17018,488;6025,0117;0,0;0,0;0,0;0,0;5951,3076;0,0;0,0
330;Vietnam;Greece;2018;18154,914;5899,5337;0,0;0,0;0,0;0,0;5827,3647;0,0;0,0
355;Vietnam;Ukraine;2018;12313,904;4663,211;0,0;0,0;0,0;0,0;4606,166;0,0;0,0
334;Vietnam;Israel;2018;13284,941;4298,9707;0,0;0,0;0,0;0,0;4246,3813;0,0;0,0
326;Vietnam;Ecuador;2018;12238,35;3839,2114;0,0;0,0;0,0;0,0;3792,2463;0,0;0,0
333;Vietnam;Iran;2018;9073,154;3721,14;0,0;0,0;0,0;0,0;3675,6191;0,0;0,0
323;Vietnam;Chile;2018;8986,687;3368,2705;0,0;0,0;0,0;0,0;3327,0664;0,0;0,0
325;Vietnam;Dominican Republic;2018;10185,856;3304,3342;0,0;0,0;0,0;0,0;3263,9124;0,0;0,0
319;Vietnam;Austria;2018;6541,223;3070,82;0,0;0,0;0,0;0,0;3033,2546;0,0;0,0
346;Vietnam;Serbia;2018;5913,8;3012,119;0,0;0,0;0,0;0,0;2975,2715;0,0;0,0
317;Vietnam;Armenia;2018;5754,842;2967,415;0,0;0,0;0,0;0,0;2931,1145;0,0;0,0
321;Vietnam;Bulgaria;2018;5763,947;2852,4316;0,0;0,0;0,0;0,0;2817,5378;0,0;0,0
351;Vietnam;Sweden;2018;7919,5625;2842,6494;0,0;0,0;0,0;0,0;2807,8752;0,0;0,0
322;Vietnam;Canada;2018;9185,918;2738,838;0,0;0,0;0,0;0,0;2705,3337;0,0;0,0
344;Vietnam;Romania;2018;6278,059;2325,308;0,0;0,0;0,0;0,0;2296,8625;0,0;0,0
347;Vietnam;Slovenia;2018;6609,943;2201,362;0,0;0,0;0,0;0,0;2174,4329;0,0;0,0
