,Exporter,Importer,Year,Value (1000USD),Weight (1000kg),"Export value, where quarantined","Import value, where quarantined","Export weight, where quarantined","Import weight, where quarantined",Embodied CO2 (1000kg),Embodied land (ha),Embodied blue water (m³)
0,Austria,Germany,2018,16607.479,2165.2183,0.0,0.0,0.0,0.0,1190.8701,0.0,0.0
1,Belgium,France,4036,182957.34399999998,45367.799,0.0,0.0,0.0,0.0,39940.2344,0.0,0.0
2,Belgium,Germany,4036,32617.154000000002,10413.7857,0.0,0.0,0.0,0.0,9347.9025,0.0,0.0
3,Belgium,Italy,2018,8655.52,3253.234,0.0,0.0,0.0,0.0,3213.437,0.0,0.0
4,Belgium,Netherlands,4036,378389.2,127643.698,0.0,0.0,0.0,0.0,121758.641,0.0,0.0
5,Brazil,Albania,2018,5841.735,2164.6816,0.0,0.0,0.0,0.0,2138.201,0.0,0.0
6,Brazil,Algeria,2018,6485.818,2744.55,0.0,0.0,0.0,0.0,2710.9758,0.0,0.0
7,Brazil,Argentina,2018,58283.188,25898.977,0.0,0.0,0.0,0.0,25582.154,0.0,0.0
8,Brazil,Australia,2018,54109.79,18613.852,0.0,0.0,0.0,0.0,18386.148,0.0,0.0
9,Brazil,Austria,2018,9689.871,3248.3115,0.0,0.0,0.0,0.0,3208.575,0.0,0.0
10,Brazil,Belgium,2018,221052.38,89884.2,0.0,0.0,0.0,0.0,88784.65,0.0,0.0
11,Brazil,Bosnia Herzegovina,2018,33818.664,14189.515,0.0,0.0,0.0,0.0,14015.934,0.0,0.0
12,Brazil,Bulgaria,2018,8953.456,3854.8848,0.0,0.0,0.0,0.0,3807.7278,0.0,0.0
13,Brazil,Canada,2018,123178.95,43637.67,0.0,0.0,0.0,0.0,43103.85,0.0,0.0
14,Brazil,Chile,2018,12071.348,5473.5186,0.0,0.0,0.0,0.0,5406.561,0.0,0.0
15,Brazil,China,2018,21460.158,7214.3438,0.0,0.0,0.0,0.0,7126.0903,0.0,0.0
16,Brazil,Colombia,2018,35697.973,20513.764,0.0,0.0,0.0,0.0,20262.818,0.0,0.0
17,Brazil,Croatia,2018,14570.501,6382.704,0.0,0.0,0.0,0.0,6304.6245,0.0,0.0
18,Brazil,Cuba,2018,7958.258,2710.5,0.0,0.0,0.0,0.0,2677.3423,0.0,0.0
19,Brazil,Cyprus,2018,6420.324,2249.231,0.0,0.0,0.0,0.0,2221.716,0.0,0.0
20,Brazil,Denmark,2018,9447.781,3637.6226,0.0,0.0,0.0,0.0,3593.1235,0.0,0.0
21,Brazil,Egypt,2018,8031.454,3211.4507,0.0,0.0,0.0,0.0,3172.165,0.0,0.0
22,Brazil,Finland,2018,79396.805,29682.836,0.0,0.0,0.0,0.0,29319.725,0.0,0.0
23,Brazil,France,2018,128448.84,44231.723,0.0,0.0,0.0,0.0,43690.637,0.0,0.0
24,Brazil,Germany,2018,772121.25,332347.25,0.0,0.0,0.0,0.0,328281.62,0.0,0.0
25,Brazil,Greece,2018,51668.203,19606.07,0.0,0.0,0.0,0.0,19366.229,0.0,0.0
26,Brazil,Indonesia,2018,12123.58,4388.0254,0.0,0.0,0.0,0.0,4334.3467,0.0,0.0
27,Brazil,Ireland,2018,6079.9883,2002.9509,0.0,0.0,0.0,0.0,1978.4487,0.0,0.0
28,Brazil,Israel,2018,6072.715,2265.3855,0.0,0.0,0.0,0.0,2237.673,0.0,0.0
29,Brazil,Italy,2018,478960.62,177751.78,0.0,0.0,0.0,0.0,175577.34,0.0,0.0
30,Brazil,Japan,2018,321217.94,112352.97,0.0,0.0,0.0,0.0,110978.555,0.0,0.0
31,Brazil,Jordan,4036,32965.277,14232.91,0.0,0.0,0.0,0.0,14058.798,0.0,0.0
32,Brazil,Lebanon,2018,59741.82,26313.059,0.0,0.0,0.0,0.0,25991.17,0.0,0.0
33,Brazil,Libya,2018,6125.7207,2555.62,0.0,0.0,0.0,0.0,2524.3572,0.0,0.0
34,Brazil,Malaysia,2018,21097.684,7548.217,0.0,0.0,0.0,0.0,7455.8794,0.0,0.0
35,Brazil,Mexico,2018,3227.838,17849.525,0.0,0.0,0.0,0.0,17631.172,0.0,0.0
