,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,in edges degree,out edges degree,total export,total export relative
Albania,0.011627906976744186,0.0,0.011627906976744186,0.0036811542156370758,1.0,0.0,0.0,0.0
Algeria,0.03488372093023256,0.0,0.03488372093023256,0.0038600043431653097,3.0,0.0,0.0,0.0
Argentina,0.011627906976744186,0.0,0.011627906976744186,0.003722516633262638,1.0,0.0,0.0,0.0
Armenia,0.023255813953488372,0.0,0.026162790697674417,0.0037482941885882016,2.0,0.0,0.0,0.0
Australia,0.09302325581395349,0.0,0.21834625322997414,0.004440918663900163,8.0,0.0,0.0,0.0
Austria,0.046511627906976744,0.0,0.19988925802879293,0.007228266266131815,3.0,1.0,2165.2183,0.0003226855638742444
Belgium,0.29069767441860467,0.0018959676894013417,0.2752573389248952,0.037056374193778656,21.0,4.0,186678.5167,0.027820964945911946
Brazil,0.6046511627906976,0.0,0.0,0.003677381764723468,0.0,52.0,1793606.1485000001,0.26730367621455736
Bulgaria,0.046511627906976744,0.0,0.20807113543091654,0.004334284183307219,4.0,0.0,0.0,0.0
Burundi,0.023255813953488372,0.0,0.0,0.003677381764723468,0.0,2.0,6690.8216,0.0009971426626026458
Cameroon,0.023255813953488372,0.0,0.0,0.003677381764723468,0.0,2.0,5880.523999999999,0.0008763828584009415
Canada,0.1511627906976744,0.0,0.24334344455679138,0.1199641926150621,12.0,1.0,58021.1269,0.008646971093097445
Chile,0.023255813953488372,0.0,0.026162790697674417,0.003696674901596075,2.0,0.0,0.0,0.0
China,0.10465116279069767,0.0,0.06330749354005169,0.0038691756562174093,5.0,4.0,38178.5455,0.0056898029554645815
Colombia,0.27906976744186046,0.001573187414500684,0.03488372093023256,0.004151992571528712,3.0,21.0,699617.9549999998,0.10426505923477587
Costa Rica,0.05813953488372093,0.0,0.011627906976744186,0.0037132797982961417,1.0,4.0,47601.783200000005,0.007094161477072098
Croatia,0.023255813953488372,0.0,0.036337209302325583,0.0037271060783123653,2.0,0.0,0.0,0.0
